UTM_x,UTM_y,S2004,S2005,S2006,S2007,S2008,S2009,S2010,S2011,S2012
570913.6405,1677365.143,0,0,0,NA,NA,NA,NA,NA,NA
570913.7008,1677359.416,0,0,0,0,0,0,0,0,0
570908.8341,1677364.73,0,0,0,NA,NA,NA,0,0,0
570903.5441,1677363.835,0,0,0,0,0,0,0,0,0
570901.673,1677359.346,0,0,0,NA,NA,NA,NA,NA,NA
570900.7531,1677354.533,0,0,0,NA,NA,NA,NA,NA,NA
570897.4594,1677358.001,0,0,0,NA,NA,NA,NA,NA,NA
570890.4707,1677352.272,0,0,0,1,1,1,1,1,1
570891.7894,1677358.868,0,1,1,NA,NA,NA,NA,NA,NA
570891.9937,1677360.19,0,0,1,NA,NA,NA,NA,NA,NA
570888.6201,1677359.489,1,1,1,NA,NA,NA,NA,NA,NA
570884.9709,1677352.804,1,1,1,NA,NA,NA,NA,NA,NA
570877.8698,1677354.405,0,1,1,NA,NA,NA,NA,NA,NA
570877.9084,1677351.049,0,0,1,NA,NA,NA,NA,NA,NA
570871.8811,1677349.286,0,0,0,1,1,0,0,0,0
570872.3587,1677358.426,0,0,0,NA,NA,NA,NA,NA,NA
570869.7115,1677354.126,0,0,0,0,1,0,0,0,0
570860.2657,1677354.115,0,0,0,0,0,0,0,0,0
570856.9022,1677349.799,0,0,0,0,0,0,0,0,0
570858.281,1677350.737,0,0,0,0,0,0,0,0,0
570857.6542,1677353.18,0,0,0,0,0,0,NA,NA,NA
570857.7872,1677357.173,0,0,0,0,NA,NA,NA,NA,NA
570850.3847,1677350.672,0,0,0,NA,NA,NA,NA,NA,NA
570848.5433,1677348.845,0,0,0,0,0,0,NA,NA,NA
570840.908,1677354.414,0,0,0,NA,NA,NA,NA,NA,NA
570841.9415,1677346.039,0,0,0,0,0,0,0,0,0
570838.6969,1677352.944,0,0,0,0,0,0,0,0,0
570830.8592,1677343.012,0,0,0,0,0,0,0,0,0
570826.6484,1677345.992,0,0,0,NA,NA,NA,0,NA,NA
570822.5542,1677341.15,0,0,0,0,0,0,0,0,0
570817.7021,1677346.062,0,0,0,0,0,0,0,0,0
571008.0317,1677387.413,0,0,0,0,0,0,0,0,0
571022.6535,1677386.047,0,0,0,0,0,0,0,0,0
571025.8041,1677393.451,0,0,0,NA,NA,NA,NA,NA,NA
571029.0316,1677390.979,0,0,0,0,0,0,1,0,0
571032.3667,1677397.032,0,0,0,0,0,0,0,0,0
571032.5542,1677392.814,0,0,0,NA,NA,NA,NA,NA,NA
571032.3634,1677387.536,0,0,0,0,0,0,0,0,0
571053.3782,1677399.116,0,0,0,0,0,0,NA,NA,NA
571059.7645,1677393.071,0,0,0,0,0,0,NA,NA,NA
571056.5626,1677399.702,0,0,0,0,0,0,NA,NA,NA
571061.8866,1677391.087,1,1,0,1,1,0,0,NA,NA
571063.8951,1677386.314,1,1,0,0,0,0,0,0,0
571059.6223,1677388.989,1,0,0,0,0,0,0,0,0
571054.8624,1677389.696,0,1,1,1,1,NA,NA,NA,NA
571058.8965,1677382.921,0,0,0,0,0,0,NA,NA,NA
571047.3934,1677380.905,0,0,0,0,0,0,0,0,0
571036.1707,1677387.544,0,0,0,0,0,0,NA,NA,NA
571041.4964,1677383.678,0,0,0,0,0,0,0,0,0
571025.7081,1677383.444,0,0,0,0,0,0,0,0,0
571019.2266,1677381.856,0,0,0,0,0,0,0,0,0
571010.7674,1677381.092,0,0,0,1,1,1,0,1,1
